,Cities,Country,Latitude,Date,Max. Temperature,Humidity,Cloudiness,Wind Speed
426,sayyan,YE,15.17,9/9/2018,15.43,34,32,1.26
427,alice springs,AU,-23.7,9/9/2018,3,32,0,2.6
428,shumskiy,RU,54.83,9/9/2018,8.43,99,92,2.61
429,tubuala,PA,9.52,9/9/2018,29,74,40,3.6
430,oussouye,SN,12.49,9/9/2018,27,83,40,1
431,moissala,TD,8.34,9/9/2018,21.53,98,76,2.76
432,berezivka,UA,47.2,9/9/2018,16.63,79,64,4.56
433,ketchikan,US,55.34,9/9/2018,16.7,80,75,2.1
434,stony mountain,CA,50.09,9/9/2018,24,60,90,4.6
435,mutsu,JP,41.29,9/9/2018,16,93,75,6.7
436,guerrero negro,MX,27.97,9/9/2018,31.03,53,0,4.21
437,asyut,EG,27.18,9/9/2018,28,51,0,7.2
438,karratha,AU,-20.74,9/9/2018,15.78,81,0,4.71
439,port moresby,PG,-9.47,9/9/2018,23,88,75,4.1
440,sarkand,KZ,45.41,9/9/2018,6.98,74,0,1.16
441,duldurga,RU,50.67,9/9/2018,6.58,88,32,1.51
442,erenhot,CN,43.65,9/9/2018,9.63,60,24,5.26
443,sungaipenuh,ID,-2.08,9/9/2018,16.48,95,32,0.61
444,grindavik,IS,63.84,9/9/2018,9,100,40,3.1
445,klyuchi,RU,52.25,9/9/2018,9.48,92,8,4.31
446,caraquet,CA,47.79,9/9/2018,16,41,1,2.6
447,smithers,CA,54.78,9/9/2018,10,87,90,3.1
448,baykit,RU,61.68,9/9/2018,0.58,82,64,1.16
449,kyakhta,RU,50.35,9/9/2018,8.68,83,92,0.41
450,iralaya,HN,15,9/9/2018,25.18,100,92,2.66
451,urucara,BR,-2.54,9/9/2018,27.23,82,64,1.36
452,shelburne,CA,44.08,9/9/2018,16,51,20,4.6
453,ahuimanu,US,21.44,9/9/2018,30,69,75,3.6
454,bathsheba,BB,13.22,9/9/2018,29,74,20,6.2
455,kudahuvadhoo,MV,2.67,9/9/2018,28.23,100,100,5.31
456,boguchany,RU,58.38,9/9/2018,5.03,87,48,1.01
457,meulaboh,ID,4.14,9/9/2018,24.48,100,92,1.96
458,dhidhdhoo,MV,6.88,9/9/2018,28.28,100,92,3.81
459,guiyang,CN,26.58,9/9/2018,14,87,0,2
460,payo,ID,-3.75,9/9/2018,20.23,85,8,1.66
461,champerico,MX,16.38,9/9/2018,31,55,75,3.1
462,cuencame,MX,24.87,9/9/2018,16.33,100,92,3.36
463,ambon,FR,47.55,9/9/2018,16,93,0,1
464,yamada,JP,36.58,9/9/2018,21,94,75,1.5
465,hoquiam,US,46.98,9/9/2018,22.2,74,90,6.2
466,ciudad bolivar,VE,8.12,9/9/2018,31.38,65,8,2.91
467,ayagoz,KZ,47.96,9/9/2018,4.23,88,0,1.66
468,fray bentos,AR,-33.12,9/9/2018,19.88,52,0,6.36
469,mahina,ML,13.76,9/9/2018,26.73,88,56,1.86
470,srednekolymsk,RU,67.46,9/9/2018,14.93,58,0,3.36
471,nouadhibou,MR,20.93,9/9/2018,27,51,76,8.2
472,uige,AO,-7.61,9/9/2018,19.48,99,68,1.16
473,vardo,US,39.62,9/9/2018,17,86,90,5.1
474,la malbaie,CA,47.66,9/9/2018,12.68,74,0,0.91
475,san quintin,PH,17.54,9/9/2018,24,100,20,1
476,gazli,UZ,40.13,9/9/2018,22.83,24,92,6.16
477,neftcala,AZ,39.37,9/9/2018,22.48,82,0,4.06
478,bellavista,CO,10.27,9/9/2018,29.43,85,80,3.56
479,norrtalje,SE,59.76,9/9/2018,15,93,0,3.1
480,maua,KE,0.23,9/9/2018,18.43,81,80,2.56
481,grand gaube,MU,-20.01,9/9/2018,21,73,20,3.6
482,yerbogachen,RU,61.28,9/9/2018,1.68,89,0,1.51
483,puerto escondido,MX,15.86,9/9/2018,31,70,75,2.6
484,aliaga,PH,15.5,9/9/2018,24,88,75,1
485,acaponeta,MX,22.49,9/9/2018,31.73,77,0,4.41
486,ostersund,SE,63.18,9/9/2018,13,71,75,4.6
487,yeppoon,AU,-23.13,9/9/2018,14,76,0,2.1
488,chirongui,YT,-12.93,9/9/2018,25,78,20,2.6
489,gunjur,GM,13.18,9/9/2018,26,88,40,4.81
490,ostrovnoy,RU,68.05,9/9/2018,8.33,93,24,3.21
491,ahipara,NZ,-35.17,9/9/2018,10.83,100,92,3.31
492,kulunda,RU,52.57,9/9/2018,9.63,94,68,3.86
493,polunochnoye,RU,60.87,9/9/2018,3.98,70,8,3.01
494,brekstad,NO,63.69,9/9/2018,17,67,0,7.2
495,cedar city,US,37.68,9/9/2018,32.8,2,1,6.2
496,puerto madryn,AR,-42.77,9/9/2018,13.58,58,0,6.86
497,todos santos,MX,23.45,9/9/2018,30,66,75,5.1
498,jalu,LY,29.03,9/9/2018,30.38,27,0,5.71
499,mangai,CD,-4.07,9/9/2018,23.43,90,48,1.31
500,gobabis,NA,-22.45,9/9/2018,5.63,31,0,3.96
501,coahuayana,MX,18.62,9/9/2018,23.98,81,68,1.31
502,port-gentil,GA,-0.72,9/9/2018,26,88,75,4.1
503,pandan,PH,11.72,9/9/2018,27.98,100,44,5.91
504,montrose,AU,-37.81,9/9/2018,13,76,90,2.6
505,saint-francois,FR,46.42,9/9/2018,16,67,0,1.16
506,isla mujeres,MX,21.23,9/9/2018,30,62,75,5.1
507,beyneu,KZ,45.32,9/9/2018,13.88,47,0,2.76
508,olocuilta,SV,13.57,9/9/2018,29,74,40,2.6
509,bull savanna,JM,17.89,9/9/2018,26.28,90,76,2.56
510,narsaq,GL,60.91,9/9/2018,7,75,48,2.6
511,mirabad,IR,28.27,9/9/2018,12.68,21,0,1.16
512,sambava,MG,-14.27,9/9/2018,22.08,100,100,6.36
513,ngunguru,NZ,-35.62,9/9/2018,12.63,100,92,3.01
514,bambanglipuro,ID,-7.95,9/9/2018,21.03,100,92,1.06
515,limenaria,GR,40.63,9/9/2018,23,64,75,2.1
516,manokwari,ID,-0.87,9/9/2018,26.73,100,48,1.31
517,chara,GR,39.42,9/9/2018,20,60,20,1.5
518,taoudenni,ML,22.68,9/9/2018,35.18,19,32,3.21
519,punta gorda,US,26.93,9/9/2018,31.1,61,40,5.1
520,grand baie,MU,-20.02,9/9/2018,21,73,20,3.6
521,gorom-gorom,BF,14.45,9/9/2018,25.58,86,8,1.31
522,pisco,PE,-13.71,9/9/2018,22,30,0,3.1
523,sovetskiy,RU,56.76,9/9/2018,11.03,100,92,3.81
524,magistralnyy,RU,56.17,9/9/2018,0.48,80,0,0.96
525,puerto narino,CO,-3.77,9/9/2018,32,62,75,2.1
526,beidao,CN,34.57,9/9/2018,12.08,92,92,2.26
527,esterhazy,CA,50.65,9/9/2018,22.13,50,12,7.91
528,ixtapa,MX,20.71,9/9/2018,32,70,75,3.6
529,oak harbor,US,41.51,9/9/2018,17.8,90,90,4.1
530,carauari,BR,-4.88,9/9/2018,34.88,41,24,2.11
531,beian,NO,63.66,9/9/2018,15,67,0,7.2
532,shingu,JP,33.72,9/9/2018,24.88,100,88,5.96
533,guaymas,MX,27.92,9/9/2018,33,66,20,6.2
534,kultuk,RU,51.73,9/9/2018,8.73,95,92,1.61
535,dolzhanskaya,RU,46.63,9/9/2018,20.73,100,36,4.11
536,toppenish,US,46.38,9/9/2018,24.4,27,1,3.1
537,kozhva,RU,65.11,9/9/2018,0.68,87,0,1.16
538,kloulklubed,PW,7.04,9/9/2018,24,94,75,5.56
539,seymchan,RU,62.93,9/9/2018,10.18,76,76,3.81
540,nyurba,RU,63.29,9/9/2018,1.48,94,76,1.21
541,marechal candido rondon,BR,-24.56,9/9/2018,26.33,60,20,0.61
542,shimoda,JP,34.7,9/9/2018,23,94,75,1
543,pendencias,BR,-5.26,9/9/2018,31.28,39,0,6.21
544,severodvinsk,RU,64.56,9/9/2018,4,100,20,2
545,krivosheino,RU,57.34,9/9/2018,8.23,92,32,4.01
546,rodna,RO,47.42,9/9/2018,7.58,90,24,0.86
547,zaragoza,ES,41.65,9/9/2018,23,73,20,4.6
